sample_idx,session_index,frame_index,true_x_m,true_y_m,est_x_m,est_y_m,r_dev0_m,r_dev1_m,r_dev0_cal_m,r_dev1_cal_m,rmse_xy_m
246,4,47,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
247,4,48,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
248,4,49,-0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
249,5,0,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
250,5,1,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
251,5,2,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
252,5,3,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
253,5,4,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
254,5,5,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
255,5,6,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
256,5,7,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
257,5,8,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
258,5,9,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
259,5,10,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
260,5,11,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
261,5,12,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
262,5,13,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
263,5,14,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
264,5,15,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
265,5,16,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
266,5,17,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
267,5,18,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
268,5,19,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
269,5,20,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
270,5,21,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
271,5,22,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
272,5,23,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
273,5,24,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
274,5,25,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
275,5,26,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
276,5,27,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
277,5,28,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
278,5,29,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
279,5,30,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
280,5,31,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
281,5,32,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
282,5,33,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
283,5,34,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
284,5,35,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
285,5,36,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
286,5,37,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
287,5,38,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
288,5,39,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
289,5,40,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
290,5,41,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
291,5,42,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
292,5,43,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
293,5,44,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
294,5,45,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
295,5,46,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
296,5,47,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
297,5,48,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
298,5,49,0.0,-1.0,nan,nan,nan,nan,nan,nan,nan
299,6,0,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
300,6,1,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
301,6,2,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
302,6,3,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
303,6,4,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
304,6,5,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
305,6,6,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
306,6,7,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
307,6,8,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
308,6,9,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
309,6,10,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
310,6,11,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
311,6,12,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
312,6,13,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
313,6,14,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
314,6,15,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
315,6,16,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
316,6,17,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
317,6,18,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
318,6,19,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
319,6,20,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
320,6,21,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
321,6,22,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
322,6,23,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
323,6,24,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
324,6,25,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
325,6,26,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
326,6,27,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
327,6,28,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
328,6,29,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
329,6,30,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
330,6,31,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
331,6,32,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
332,6,33,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
333,6,34,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
334,6,35,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
335,6,36,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
336,6,37,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
337,6,38,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
338,6,39,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
339,6,40,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
340,6,41,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
341,6,42,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
342,6,43,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
343,6,44,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
344,6,45,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
345,6,46,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
346,6,47,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
347,6,48,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
348,6,49,0.2,-1.0,nan,nan,nan,nan,nan,nan,nan
349,7,0,0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
350,7,1,0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
351,7,2,0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
352,7,3,0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
353,7,4,0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
354,7,5,0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
355,7,6,0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
356,7,7,0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
357,7,8,0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
358,7,9,0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
359,7,10,0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
360,7,11,0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
361,7,12,0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
362,7,13,0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
363,7,14,0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
364,7,15,0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
365,7,16,0.4,-1.0,nan,nan,nan,nan,nan,nan,nan
